"","memorygame","languages","pressure"
"1",49,"2","Some"
"2",31,"1","A lot"
"3",34,"2","Very little"
"4",40,"2","Some"
"5",43,"2","Some"
"6",59,"1","Some"
"7",41,"1","Some"
"8",63,"1","Some"
"9",39,"1","Very little"
"10",47,"2","Some"
"11",36,"2","Some"
"12",33,"2","Very little"
"13",41,"2","Some"
"14",33,"1","A lot"
"15",31,"1","Very little"
"16",43,"1","A lot"
"17",48,"2","Some"
"18",45,"2","Very little"
"19",30,"1","A lot"
"20",34,"2","Some"
"21",43,"1","Some"
"22",39,"1","Some"
"23",39,"2","Some"
"24",47,"2","A lot"
"25",45,"2","Some"
"26",39,"2","Very little"
"27",38,"2","Some"
"28",61,"1","Very little"
"29",42,"1","Very little"
"30",59,"1","A lot"
"31",81,"1","Some"
"32",44,"2","Some"
"33",68,"2","Some"
"34",33,"2","Very little"
"35",94,"1","Very little"
"36",27,"1","Some"
"37",39,"2","Very little"
"38",31,"1","Some"
"39",36,"1","Very little"
"40",37,"2","Very little"
"41",70,"2","A lot"
"42",59,"1","Some"
"43",77,"1","Very little"
