province,gender,languages,height,armspan,foot,wristbone,wristcircum,handedness,grain,milk,vegetable,meat,otherfood,nobreakfast,physical_activity,physical_days,num_cigarettes,favsubj,pressure,travel,traveltime,bullied_times,communication,importance of reducing pollution,importance of recycling rubbish,importance of conserving water,importance of saving energy,importance of owning a computer,importance of Internet access,charity,lookupto,household,metals,plastics,paper,composting,lightbulbs,water,memorygame,age,reaction_time,bullied_reason,Year,level
Ontario,Female,2,150,160,25,22,140,Right-handed,No,No,No,No,Yes,No,Football/Soccer,,0,English,Some,Walk,20, ,Text messaging,1000,770,890,935,850,915,Health,Business person,6,Don't know,Don't know,Don't know,Don't know,Don't know,Bottled water,49,15,0.532,Trying to be cool,2016,Secondary
Saskatchewan,Female,1,181,172.5,25,28,160,Right-handed,No,Yes,No,No,No,No,Running/Jogging,,0,Math,A lot,Car,8, ,Text messaging,850,855,1000,730,75,780,Health,Relative,4,No,Yes,Yes,No,Yes,Tap water,31,15,0.368,Insecure,2016,Secondary
Quebec,Male,2,170,172,25.5,27.5,160,Right-handed,Yes,No,No,No,No,No,Other activities/sports,,0,Physical education,Very little,Bus,30, ,In person,765,265,1000,1000,35,215,International aid,Other,4,Yes,Don't know,Don't know,Don't know,Don't know,Tap water,34,15,0.085,Bored,2016,Secondary
British Columbia,Female,2,160.5,160.5,24.5,20.5,150,Right-handed,Yes,No,No,No,No,No,Basketball,,0,English,Some,Bus,15, ,Text messaging,315,475,755,730,75,145,Health,Friend,5,Don't know,Yes,Don't know,No,Don't know,Bottled water,40,15,0.464,Mean,2016,Secondary
British Columbia,Female,2,152,149,23,18,120,Right-handed,Yes,Yes,No,No,No,No,Other activities/sports,,0,Other,Some,Bus,5, ,Text messaging,820,830,820,820,690,770,Health,Other,6,Yes,Yes,Yes,Yes,Yes,Other,43,15,0.383,Insecure,2016,Secondary
Ontario,Female,1,174.5,177,24.5,30,160,Right-handed,No,Yes,No,No,No,No,Baseball/Softball,,0,Music,Some,Walk,3, ,Text messaging,970,780,960,845,245,555,"Wildlife, animals",Musician or singer,4,Yes,Yes,Don't know,Yes,Yes,Tap water,59,15,0.804,Mean,2016,Secondary
Alberta,Male,1,172,171,25,27,117,Ambidextrous,Yes,No,No,No,No,No,Basketball,,0,Other,Some,Bus,20, ,In person,750,800,700,800,250,250,Education/Youth development,Other,2,Yes,Yes,Yes,Don't know,Yes,Other,41,15,0.458,Insecure,2016,Secondary
Alberta,Male,1,178,175,28,30,175,Right-handed,Yes,No,Yes,Yes,No,No,Ice Hockey,,0,Physical education,Some,Bus,10, ,"Myspace, Facebook, blogs",750,220,835,100,1000,1000,"Arts, culture, sports",Sportsperson,4,Don't know,Yes,Yes,No,Yes,Tap water,63,15,0.322,Just looking for fun,2016,Secondary
Alberta,Female,1,163,165,19,27,150,Ambidextrous,No,No,No,No,No,Yes,Football/Soccer,,0,Social studies,Very little,Car,10, ,"Myspace, Facebook, blogs",685,380,1000,170,1000,1000,Health,Relative,7,No,Yes,Yes,No,Yes,Bottled water,39,15,0.559,Insecure,2016,Secondary
Saskatchewan,Male,2,185.5,181.5,27.5,33.5,220,Right-handed,Yes,No,Yes,Yes,No,No,Basketball,,0,Physical education,Some,Walk,20, ,In person,540,575,550,840,1000,1000,International aid,Other,5,No,Yes,Yes,No,Yes,Bottled water,47,15,0.535,Insecure,2016,Secondary
